Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15278361,2,"Sunday, January 27, 2013 19:52:27 UTC",34.0397,-117.2208,1.3,15.50,18,"Greater Los Angeles area, California"
nc,71929801,2,"Sunday, January 27, 2013 19:43:31 UTC",37.5540,-122.4303,1.1,11.10,16,"San Francisco Bay area, California"
ci,15278353,2,"Sunday, January 27, 2013 19:42:14 UTC",33.1955,-115.6453,1.3,5.40,13,"Southern California"
nc,71929796,2,"Sunday, January 27, 2013 19:38:04 UTC",38.7813,-122.3778,1.8,10.10,48,"Northern California"
us,c000ewg6,6,"Sunday, January 27, 2013 19:32:41 UTC",-34.7329,-108.9744,5.2,14.80,159,"southern East Pacific Rise"
ak,10645772,2,"Sunday, January 27, 2013 19:26:06 UTC",63.7419,-145.7622,1.3,0.70,14,"Central Alaska"
ak,10648235,2,"Sunday, January 27, 2013 19:23:04 UTC",51.4719,-179.0418,2.1,69.90, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15278337,2,"Sunday, January 27, 2013 19:19:14 UTC",33.1667,-115.6237,1.0,2.00,21,"Southern California"
ci,15278329,2,"Sunday, January 27, 2013 19:14:08 UTC",33.7832,-116.1658,1.0,7.70,20,"Southern California"
ci,15278321,2,"Sunday, January 27, 2013 19:11:29 UTC",34.0225,-117.2095,1.1,7.00,16,"Greater Los Angeles area, California"
nn,00401050,9,"Sunday, January 27, 2013 19:04:03 UTC",38.1313,-118.2648,2.1,13.90,19,"Nevada"
ak,10645767,2,"Sunday, January 27, 2013 18:57:25 UTC",55.1889,-160.6217,2.1,4.80,11,"Alaska Peninsula"
us,c000ewfr,8,"Sunday, January 27, 2013 18:41:48 UTC",36.5255,140.5339,5.1,70.90,117,"near the east coast of Honshu, Japan"
nc,71929751,2,"Sunday, January 27, 2013 18:14:04 UTC",36.5582,-121.0728,1.1,5.70,16,"Central California"
ak,10645755,2,"Sunday, January 27, 2013 18:12:43 UTC",51.5689,-178.4381,2.6,13.50,14,"Andreanof Islands, Aleutian Islands, Alaska"
se,012713a,A,"Sunday, January 27, 2013 18:10:24 UTC",35.2656,-84.3268,1.5,18.40, 9,"eastern Tennessee"
ak,10645753,2,"Sunday, January 27, 2013 18:03:45 UTC",62.1169,-148.0811,1.4,39.40,20,"Central Alaska"
ci,15278297,2,"Sunday, January 27, 2013 18:03:05 UTC",33.5198,-116.4220,2.0,10.30,109,"Southern California"
nc,71929741,0,"Sunday, January 27, 2013 18:02:25 UTC",38.8393,-122.7990,1.0,1.80,11,"Northern California"
pr,13027004,0,"Sunday, January 27, 2013 17:58:22 UTC",18.8010,-64.1484,2.2,39.00, 5,"Virgin Islands region"
ak,10648231,2,"Sunday, January 27, 2013 17:39:25 UTC",56.5783,-155.6061,2.2,28.20,11,"Alaska Peninsula"
ak,10648230,2,"Sunday, January 27, 2013 17:34:09 UTC",52.4318,-170.5736,2.9,25.80, 8,"Fox Islands, Aleutian Islands, Alaska"
ci,15278281,0,"Sunday, January 27, 2013 17:25:55 UTC",32.6498,-115.9317,1.6,10.60,20,"Southern California"
ak,10648229,2,"Sunday, January 27, 2013 17:22:55 UTC",53.1271,-168.7693,2.4,120.60,11,"Fox Islands, Aleutian Islands, Alaska"
ci,15278273,3,"Sunday, January 27, 2013 17:19:12 UTC",33.1662,-115.6262,1.4,0.10,20,"Southern California"
ak,10648228,2,"Sunday, January 27, 2013 17:14:25 UTC",55.4136,-159.4684,1.6,20.80, 8,"Alaska Peninsula"
nn,00401044,9,"Sunday, January 27, 2013 17:10:36 UTC",38.1593,-118.0120,2.1,5.40,15,"Nevada"
nc,71929701,3,"Sunday, January 27, 2013 17:09:48 UTC",39.5483,-121.9962,1.8,13.40,25,"Northern California"
ci,15278249,4,"Sunday, January 27, 2013 17:02:54 UTC",34.0305,-116.8445,1.2,23.30,56,"Southern California"
mb,13496747,2,"Sunday, January 27, 2013 17:00:13 UTC",44.3895,-114.8388,1.8,9.80,14,"southern Idaho"
mb,13102134,2,"Sunday, January 27, 2013 16:55:05 UTC",45.9069,-111.3696,1.3,4.90,15,"western Montana"
ci,15278241,4,"Sunday, January 27, 2013 16:49:52 UTC",34.0198,-117.2262,1.1,12.60,46,"Greater Los Angeles area, California"
ak,10648227,2,"Sunday, January 27, 2013 16:42:42 UTC",66.7882,-143.3567,1.9,5.40,14,"northern Alaska"
ak,10645730,2,"Sunday, January 27, 2013 16:35:27 UTC",60.3208,-152.3343,2.0,89.30,27,"Southern Alaska"
ci,15278233,3,"Sunday, January 27, 2013 16:21:01 UTC",34.0118,-117.2273,1.0,5.00,33,"Greater Los Angeles area, California"
ak,10648225,2,"Sunday, January 27, 2013 16:12:24 UTC",64.7105,-139.0773,1.8,21.60, 8,"Southern Yukon Territory, Canada"
uu,60011582,2,"Sunday, January 27, 2013 16:12:00 UTC",39.6335,-110.4197,1.6,3.40, 7,"Utah"
nc,71929676,2,"Sunday, January 27, 2013 16:11:46 UTC",38.2252,-122.1545,1.4,5.50,26,"Northern California"
ak,10645728,2,"Sunday, January 27, 2013 16:10:39 UTC",64.8383,-138.7054,2.2,7.00,17,"Southern Yukon Territory, Canada"
ci,15278225,2,"Sunday, January 27, 2013 15:48:45 UTC",34.0182,-117.2265,1.0,11.90,25,"Greater Los Angeles area, California"
uw,60497767,2,"Sunday, January 27, 2013 15:32:27 UTC",46.5273,-122.3177,1.1,21.90,39,"Washington"
uw,60497762,1,"Sunday, January 27, 2013 15:26:25 UTC",43.7848,-121.3387,1.0,8.10,11,"Oregon"
nc,71929671,1,"Sunday, January 27, 2013 15:25:48 UTC",38.8090,-122.8118,1.9,2.20,37,"Northern California"
ak,10645716,2,"Sunday, January 27, 2013 15:23:26 UTC",63.3197,-148.7592,1.4,4.00,23,"Central Alaska"
nc,71932556,2,"Sunday, January 27, 2013 15:18:43 UTC",40.1930,-121.3652,1.2,4.50,12,"Northern California"
ak,10648221,2,"Sunday, January 27, 2013 15:07:01 UTC",58.6556,-137.0520,2.0,2.80, 8,"Southeastern Alaska"
ak,10648220,2,"Sunday, January 27, 2013 14:58:28 UTC",54.2756,-162.5355,2.1,8.40, 6,"Alaska Peninsula"
ci,15278209,0,"Sunday, January 27, 2013 14:53:02 UTC",34.0192,-117.2315,2.2,11.90,127,"Greater Los Angeles area, California"
ak,10648219,2,"Sunday, January 27, 2013 14:52:21 UTC",61.8979,-149.5199,1.2,47.00,16,"Southern Alaska"
us,2013kxau,5,"Sunday, January 27, 2013 14:34:33 UTC",-35.5968,-108.7381,4.7,10.00,27,"southern East Pacific Rise"
us,2013kxat,4,"Sunday, January 27, 2013 14:24:12 UTC",4.9527,95.8501,4.6,45.60,34,"northern Sumatra, Indonesia"
ak,10648218,2,"Sunday, January 27, 2013 14:23:36 UTC",61.6929,-151.7056,1.7,79.00,16,"Southern Alaska"
ak,10645705,2,"Sunday, January 27, 2013 14:18:36 UTC",59.9276,-152.7462,2.4,99.50,46,"Southern Alaska"
ci,15278193,3,"Sunday, January 27, 2013 14:09:16 UTC",35.4497,-118.3478,1.6,4.30,33,"Central California"
nc,71929641,1,"Sunday, January 27, 2013 14:02:22 UTC",38.8160,-122.8142,1.8,1.30,27,"Northern California"
ak,10648214,2,"Sunday, January 27, 2013 13:59:03 UTC",60.3660,-152.4536,1.8,84.70,15,"Southern Alaska"
us,c000ewe6,C,"Sunday, January 27, 2013 13:50:37 UTC",-35.1633,-108.5225,5.1,10.00,240,"southern East Pacific Rise"
ak,10648213,2,"Sunday, January 27, 2013 13:44:54 UTC",51.5178,-174.9638,1.7,25.60,11,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71929626,0,"Sunday, January 27, 2013 13:31:54 UTC",38.8118,-122.8125,1.0,1.70,20,"Northern California"
mb,13707521,2,"Sunday, January 27, 2013 13:29:16 UTC",45.6145,-111.7513,1.2,6.30,13,"western Montana"
nc,71929616,2,"Sunday, January 27, 2013 13:18:30 UTC",36.5105,-121.0380,1.0,7.70,15,"Central California"
ci,15278185,2,"Sunday, January 27, 2013 13:07:22 UTC",32.1668,-115.2207,2.3,2.60,17,"Baja California, Mexico"
ak,10648212,2,"Sunday, January 27, 2013 13:02:05 UTC",62.5424,-151.2268,1.3,86.00, 9,"Central Alaska"
ak,10645688,3,"Sunday, January 27, 2013 12:51:31 UTC",59.3313,-153.0561,2.4,92.80,40,"Southern Alaska"
ak,10645683,2,"Sunday, January 27, 2013 12:39:14 UTC",63.5906,-147.3859,1.3,6.10,17,"Central Alaska"
nc,71929596,2,"Sunday, January 27, 2013 12:35:59 UTC",38.8342,-122.7750,1.1,2.50,23,"Northern California"
pr,13027003,0,"Sunday, January 27, 2013 12:34:30 UTC",19.0702,-63.7918,3.2,9.00, 8,"Virgin Islands region"
